obec,url,municipality_kod
Košín,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=63556},562955.0
Černošín,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=223995},560812.0
Petrovice,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/551848/Texty/551848.pdf},551848.0
Františkovy Lázně,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Frantiskovy_Lazne/A_Textova_cast/UP_Frantiskovy_Lazne_navrh.pdf},554529.0
Vysoký Újezd,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/513482_Vysok%FD_%DAjezd/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/513482_UP_2019_Vysoky_Ujezd_ORG/Vysok%FD%20%DAjezd%20-%20%20I.%20%DAzemn%ED%20pl%E1n%20-%20textov%E1%20%E8%E1st%20-%20OOP_2019.pdf},513482.0
Horní Radslavice,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=15804},595675.0
Choustníkovo Hradiště,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579327_TC.pdf},579327.0
Moravskoslezský Kočov,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/551732/Texty/551732.pdf},551732.0
Benešov,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529303_Bene%9Aov/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529303_UP_PRV_STAV_02_2023_Benesov_ORG/01%20textov%E1%20%E8%E1st.pdf},529303.0
Drhovice,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=33017},563307.0
Nemojov,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579564_133160_TC_PS.pdf},579564.0
Plesná,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Plesna/A_Textova_cast/PLESN%C3%81_N%C3%81VRH_%C3%BAprava_prosinec08.pdf},554740.0
Prameny,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Prameny/A_Textova_cast/%C3%9AP%20Prameny.pdf},539538.0
Radešín,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=19933},596523.0
Úvalno,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597937/Texty/597937_z02.pdf},597937.0
Zálší,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=16092},553361.0
Dolní Dvùr,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579149_111784_TC.pdf},579149.0
Černýšovice,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=9021},563722.0
Cheb,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Cheb/A_Textova_cast/Cheb_UZ_po_%204_9_13_15.pdf},554481.0
Rozseč,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=16388},596639.0
Obyčtov,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=24092},596281.0
Doubravice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579181_137531_PS.pdf},579181.0
Hodětín,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=13030},598992.0
Dolní Žandov,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Dolni_Zandov/A_Textova_cast/Textova%20cast_Uplne%20zneni.pdf},554502.0
Katov,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=10621},530042.0
Teplá,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Tepla/A_Textova_cast/%C3%9AP_Tepl%C3%A1_listopad%202012.pdf},555631.0
Suchovršice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579726_TC.pdf},579726.0
Klenovice,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=65329},563986.0
Nová Pláň,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/546950/Texty/546950.pdf},546950.0
Dolní Lánov,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579165_TC.pdf},579165.0
Lipová,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Lipova/A_Textova_cast/UP_Lipova_text.pdf},554626.0
Milíkov,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Milikov/A_Textova_cast/I_Textova_cast.pdf},538906.0
Kadolec,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=15853},595811.0
Zábřezí-Řečice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/548839_137358_TC_m.pdf},548839.0
Svobodné Heřmanice,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597881/Texty/597881.pdf},597881.0
Bystřice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529451_Byst%F8ice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529451_UP_2019_Byst%F8ice_ORG/Textov%E1%20%E8%E1st/bys_v%FDrok_%E8istopis_kv%ECten%202019.pdf},529451.0
Ostrov nad Oslavou,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=33949},596361.0
Město Albrechtice,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597635/Texty/597635_zuz01.pdf},597635.0
Bílé Poličany,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579076_136080_TC_m.pdf},579076.0
Luby,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Luby/A_Textova_cast/UP_Luby_vyrokova_cast.pdf},554634.0
Velký Vřešťov,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579793_137100_ps.pdf},579793.0
Trstěnice,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Trstenice/A_Textova_cast/UP_Trstenice_text1.pdf},554855.0
Stříbro,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=225978},561215.0
Čakov,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529478_%C8akov/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529478_UP_2024_Cakov_ORG/529478_text.pdf},529478.0
Stará Voda,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Stara_Voda/A_Textova_cast/539112_text.pdf},539112.0
Aš,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/As/UP_As/A_Textova_cast/%C3%9APLN%C3%89%20ZN%C4%9AN%C3%8D%20%C3%9AP%20A%C5%A0_PO%20Z12%20A%20Z27_TEXT.pdf},554499.0
Čerčany,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529516_%C8er%E8any/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529516_UP_PRV_STAV_01_2024_Cercany_ORG/01_0_Textov%E1_%E8%E1st_%DAZ_%DAP_%C8er%E8an_po_Z1_04-2024.pdf},529516.0
Hřibojedy,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579301_137200_TC_m.pdf},579301.0
Andělská Hora,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/551929/Texty/551929.pdf},551929.0
Rtyně v Podkrkonoší,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579637_138122_PS_TC_m.pdf},579637.0
Skalná,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Skalna/A_Textova_cast/UP_Skalna_text.pdf},554812.0
Rýmařov,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597783/Texty/597783_zuz02.pdf},597783.0
Prostiboř,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=111568},541486.0
Věcov,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=12747},596957.0
Podhradí,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/As/UP_Podhradi/A_Textova_cast/text.%20%C3%BApln%C3%A9%20zn%C4%9Bn%C3%AD_zm.%C4%8D.1.pdf},538817.0
Český Šternberk,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529541_%C8esk%FD_%8Aternberk/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529541_UP_2017_Cesky_Sternberk_ORG/Textov%E1%20%E8%E1st/komplet2-text-%DAP%20%C8ESK%DD%20%8ATERNBERK-%20%C8ISTOPIS-02-2017-o.pdf},529541.0
Okrouhlá,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Okrouhla/A_Textova_cast/Okrouhla_textova_cast.pdf},538922.0
Čtyřkoly,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529567_%C8ty%F8koly/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529567_UP_2023_Ctyrkoly_ORG/IA%20Textova%20cast%20UP.pdf},529567.0
Soběslav,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=64992},553131.0
Třebeň,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Treben/A_Textova_cast/UP_Treben_text.pdf},539023.0
Ruda,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=27653},596663.0
Kostelec,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=224201},503916.0
Vlkovice,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Vlkovice/A_Textova_cast/%C3%9AP%20n%C3%A1vrh%20Vlkovice_p%C5%99ed_vyd%C3%A1n%C3%ADm_text2.pdf},539376.0
Roudno,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597741/Texty/597741.pdf},597741.0
Sázava,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=45340},596701.0
Divišov,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529621_Divi%9Aov/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529621_UP_2021_Divi%9Aov_ORG/04_Textov%E1_%E8%E1st_%DAP_Divi%9Aova_06-2021.pdf},529621.0
Mnichov,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Mnichov/A_Textova_cast/UP_Mnichov_text.pdf},554677.0
Vlčice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579823_137371_TC.pdf},579823.0
Býkov-Láryšov,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/569607/Texty/569607_zuz01.pdf},569607.0
Velký Luh,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Velky_Luh/A_Textova_cast/UP_Velky%20Luh_text.%C4%8D%C3%A1st_komplet.pdf},578002.0
Hvězdonice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529745_Hv%ECzdonice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529745_UP_2019_Hv%ECzdonice_ORG/Textov%E1%20%E8%E1st/Hvezdonice_20182_V.pdf},529745.0
Pilníkov,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579599_138177_PS_TC_m.pdf},579599.0
Krásná,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/As/UP_Krasna/A_Textova_cast/KR%C3%81SN%C3%81_%C3%9AP.pdf},538795.0
Poustka,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Poustka/A_Textova_cast/%C3%9AP%20Poustka_text_n%C3%A1vrh.pdf},577979.0
Chocerady,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529796_Chocerady/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529796_UP_PRV_STAV_01_2021_Chocerady_ORG/UP_Chocerady_text_UZ_Z1.pdf},529796.0
Smilovy Hory,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=52915},553123.0
Nebanice,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Nebanice/A_Textova_cast/%C3%9AP_Nebanice_n%C3%A1vrh.pdf},554693.0
Břidličná,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597228/Texty/597228.pdf},597228.0
Chodský Újezd,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=222684},560910.0
Zádub-Závišín,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Zadub-Zavisin/A_Textova_cast/Z-Z%20Text_01_2009-cel%C3%BD.pdf},539431.0
Hošťálkovy,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597392/Texty/597392_zuz03.pdf},597392.0
Bezdružice,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=225335},560740.0
Chotýšany,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529818_Chot%FD%9Aany/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529818_UP_2018_Chotysany_ORG/Chot%FD%9Aany%20-%20%20I.%20%DAzemn%ED%20pl%E1n%20-%20textov%E1%20%E8%E1st%20-%202018_OOP.pdf},529818.0
Žíšov,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=58277},563897.0
Kozmice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529940_Kozmice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529940_UP_PRV_STAV_02_2020_Kozmice_ORG/UP_Kozmice_text_%DAZ_Zm2.pdf},529940.0
Maršov u Úpice,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579530_138322_PS.pdf},579530.0
Lázně Kynžvart,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Lazne_Kynzvart/A_Textova_cast/UP_Lazne_Kynzvart_text.pdf},554600.0
Valy,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Valy/A_Textova_cast/UP_Valy_text.pdf},539481.0
Blažkov,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=47439},595241.0
Libňatov,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579475_138231_PS.pdf},579475.0
Odrava,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Cheb/UP_Odrava/A_Textova_cast/%C3%9AP_ODRAVA_%20VYD%C3%81N%C3%8D_%C4%8CERVEN_09.pdf},539554.0
Staré Sedliště,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=113096},561185.0
Dolní Moravice,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597287/Texty/597287_zuz03.pdf},597287.0
Nížkov,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=15080},596205.0
Ovesné Kladruby,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Marianske_Lazne/UP_Ovesne_Kladruby/A_Textova_cast/UP_Ovesne_Kladruby_text.pdf},539473.0
Sulislav,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=224388},561231.0
Krhanice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529958_Krhanice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529958_UP_06_2020_Krhanice_ORG/UP_Krhanice_text_vcetne_oduvodneni_anonymizovany.pdf},529958.0
Otín,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=40954},596370.0
Smolné Pece,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Smolne_Pece/A_Textova_cast/UP_Smolne_Pece.pdf},538027.0
Radětice,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=61444},552925.0
Rudník,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579645_132280_tc.pdf},579645.0
Vlčkovice v Podkrkonoší,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579831_TC.pdf},579831.0
Chyše,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Chyse/A_Textova_cast/Chy%C5%A1e_vydan%C3%BD_%C3%9AP.pdf},555207.0
Hájek,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Ostrov/UP_Hajek/A_Textova_cast/%C3%9AP_H%C3%A1jek_vydan%C3%BD_%C5%99%C3%ADjen_2013_komplet_s_tabulkama_ZPF.pdf},538159.0
Kunčice nad Labem,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579424_137174_tc.pdf},579424.0
Ctiboř,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=100894},579459.0
Křečovice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/529991_K%F8e%E8ovice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/529991_UP_2017_K%F8e%E8ovice_ORG/Textov%E1%20%E8%E1st/K%F8e%E8ovice_20179.pdf},529991.0
Prosečné,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579602_136922_TC_m.pdf},579602.0
Otovice,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Otovice/A_Textova_cast/UP_Otovice_textova_cast_1_vyrok.pdf},537969.0
Lešany,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/530051_Le%9Aany/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/530051_UP_PRV_STAV_02_2023_Lesany_ORG/UP_Lesany_text_UZ_Z1_Z2.pdf},530051.0
Svojšín,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=114774},561258.0
Bílá Třemešná,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579068_137347_PS.pdf},579068.0
Vídeň,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=22423},597058.0
Krásné Údolí,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Krasne_Udoli/A_Textova_cast/UP_KRASNE_UDOLI_TEXT.pdf},555304.0
Široká Niva,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597899/Texty/597899.pdf},597899.0
Bohdalec,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=12195},595284.0
Slezské Pavlovice,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/551881/Texty/551881.pdf},551881.0
Mírová,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Mirova/A_Textova_cast/Mirova_2_uprava_9_2010.pdf},537934.0
Meziříčí,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=12196},563234.0
Dolní Kalná,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579157_137553_PS.pdf},579157.0
Škrdlovice,{https://gispbox.kr-vysocina.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=30828},596876.0
Zátor,{https://geoportal.msk.cz/Public/UzemniPlanyObci/PrehledUP/Dokumenty/597988/Texty/597988_zuz04.pdf},597988.0
Sadov,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Sadov/A_Textova_cast/UP_Sadov_textova_cast.pdf},555533.0
Želeč,{https://twist-gp.kraj-jihocesky.gov.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=64823},553417.0
Tisová,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=118946},541621.0
Abertamy,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Ostrov/UP_Abertamy/A_Textova_cast/Abertamy%20vydan%C3%BD%20%C3%9AP_%C5%99%C3%ADjen2011.pdf},554979.0
Únehle,{https://geoportal.plzensky-kraj.cz/ost/filebox/ug_file.php?upload_modul=table&_set_sess_cache_limit_=1&FILE_ID=120914},541435.0
Maršovice,{https://gis.kr-stredocesky.cz/docs/reg/%DAZEMN%CD%20PL%C1NOV%C1N%CD%20NA%20%DAROVNI%20OBCE/Benesov_27/530115_Mar%9Aovice/01_%DAzemn%ED_pl%E1n/01_ORIGIN%C1LY/530115_UP_PRV_STAV_01_2023_Marsovice_ORG/0.MAR%8A_%DAZ%20po%20Z1_text.pdf},530115.0
Hostinné,{https://up.kr-kralovehradecky.cz/upd/_mapy/upd/html/vyhlasky/579297_136640_TC.pdf},579297.0
Bochov,{https://geoportal.kr-karlovarsky.cz/vykresy/UPD_OBCI/Karlovy_Vary/UP_Bochov/A_Textova_cast/UP_Bochov_textova_cast.pdf},555029.0
