Kód KRAJ_NUTS,Kód OKRES,SO ORP,SO POÚ,kód obce text,kód obce číslo,název územní jednotky,Počet obyvatel,Přirozený přírůstek (osoba),Přírůstek stěhováním (osoba),Celkový přírůstek (osoba),"Podíl obyvatel ve věku
0-14 na celkovém počtu obyvatel (%)","Podíl obyvatel ve věku
15 - 64 let na celkovém počtu obyvatel (%)","Podíl obyvatel ve věku 
65 a více let na celkovém počtu obyvatel (%)",Počet obyvatel ve věku 0-14 let ,Počet obyvatel ve věku 15-64 let,Počet obyvatel ve věku 65 a více let,Počet částí obce,Počet katastrálních území,Počet základních sídelních jednotek,"Příjmy rozpočtů obcí celkem
(tis. Kč)","Daňové příjmy rozpočtů obcí
(tis. Kč)","Nedaňové
příjmy
rozpočtů
obcí
(tis. Kč)","Kapitálové
příjmy
rozpočtů
obcí
(tis. Kč)","Přijaté
transfery
(tis. Kč)","Výdaje
rozpočtů
obcí
celkem
(tis. Kč)","Běžné
výdaje
rozpočtů
obcí
(tis. Kč)","Kapitálové
výdaje
rozpočtů
obcí
(tis. Kč)","Saldo
příjmů
a výdajů
(tis. Kč)","Podíl nezaměstna-
ných osob (%)","Uchazeči
o zaměstnání
v evidenci ÚP
- dosažitelní","Uchazeči
o zaměstnání
v evidenci ÚP
- celkem","Uchazeči
o zaměstnání
v evidenci ÚP
- absolventi","Uchazeči
o zaměstnání
v evidenci ÚP
nad 12 měs.",Počet dokončených bytů,"Počet dokončených bytů
v rodinných domech",Počet hromadných ubytovacích zařízení celkem,"Počet lůžek
v HUZ celkem","Podíl zemědělské půdy
z celkové výměry (%)",Podíl orné půdy ze zemědělské půdy (%),Podíl  chmelnic ze zemědělské půdy (%),Podíl vinic ze zemědělské půdy (%),Podíl zahrad ze zemědělské půdy (%),Podíl ovocných sadů ze zemědělské půdy (%),Podíl trvalých trvaních porostů ze zemědělské půdy (%),"Podíl orné půdy
z celkové výměry (%)","Podíl chmelnic
z celkové výměry (%)","Podíl vinic
z celkové výměry (%)","Podíl zahrad
z celkové výměry (%)","Podíl ovocných sadů
z celkové výměry (%)","Podíl trvalých travních porostů
z celkové výměry (%)","Podíl nezemědělské půdy
z celkové výměry (%)","Podíl lesních pozemků
z celkové výměry (%)","Podíl vodních ploch
z celkové výměry (%)","Podíl zastavěných ploch
a nádvoří
z celkové výměry (%)","Podíl ostatních ploch
z celkové výměry (%)",Živě narození,Zemřelí,Přistěhovalí,Vystěhovalí,Průměrný věk,Index stáří,Celková výměra (ha),Zemědělská půda (ha),Orná půda (ha),Chmelnice (ha),Vinice (ha),Zahrady (ha),Ovocné sady (ha),Trvalé travní porosty (ha),Nezemědělská půda (ha),Lesní pozemky (ha),Vodní plochy (ha),Zastavěné plochy a nádvoří (ha),Ostatní plochy (ha),Koeficient ekologické stability,Kód CZ_NUTS_3,KRAJ,"Kód
CZ_OKR",OKRES,"Kód
CZ_SO_ORP","SPRÁVNÍ OBVOD
OBCE S ROZŠÍŘENOU PŮSOBNOSTÍ"
2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022.0,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022.0,2022,2022,2022.0,2022.0,2022,2022,2022,2022,2022,2022,2022.0,2022.0,2022,2022,2022,2022,2022,2022,2022.0,2022,2022,2022.0,2022.0,2022.0,2022,2022,2022,2022,2022,2022
3018,40924,x,x,554782,554782,Praha,1357326,718,81202,81920,16.135548865932,65.0851748216714,18.7792763123966,219012,883418,254896,112,112,953,120335909.53226,80461737.19909,6823504.25933,343686.2218,32706981.85204,104822901.92434,82800592.01366,22022309.91068,15513007.60792,3.021,24795,27334,532,7251,6575,678,873,98446,39.24311375,70.3975215247473,-,0.0790536949340822,20.5489906514881,2.97703235934635,5.9974017694842,27.62617945,-,0.03102313,8.06406378,1.1682802,2.3535672,60.75688625,10.62018408,2.21791922,10.27670213,37.64208083,13528,12810,112363,31161,41.6867620601094,116.384490347561,49620.7162,19472.7141,13708.3081,-,15.3939,4001.4462,579.709,1167.8569,30148.0021,5269.8114,1100.5474,5099.3732,18678.2701,0.323715,CZ010,Hlavní město Praha,x,x,x,x
3026,40169,2101,21011,529303,529303,Benešov,16875,-50,477,427,15.8162962962963,62.5125925925926,21.6711111111111,2669,10549,3657,15,2,26,680229.42117,405926.25323,81720.46425,39710.40276,152872.30093,638389.6026,451447.86694,186941.73566,41839.81857,1.799,185,221,7,31,22,22,10,500,50.97971862,72.4325360421591,-,-,5.18551751384434,1.37679206369401,21.0051543803025,36.92590307,-,-,2.64356224,0.70188472,10.7083686,49.02028138,29.42663434,1.78709706,3.06398601,14.74256397,152,202,998,521,43.2334518518519,137.017609591607,4687.009,2389.424,1730.7204,-,-,123.904,32.8974,501.9022,2297.585,1379.229,83.7614,143.6093,690.9853,0.82706958,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21013,532924,532924,Bukovany,795,-,26,26,19.4968553459119,63.3962264150943,17.1069182389937,155,504,136,1,1,1,17408.00518,13637.30029,3251.80455,0,518.90034,10525.77491,7547.05767,2978.71724,6882.23027,2.268,11,13,-,2,7,7,-,-,65.56814938,90.1502446065154,-,-,4.08221942439153,0.0842987805819932,5.68323718851106,59.10984705,-,-,2.67663573,0.05527315,3.72639345,34.43185062,23.49882688,0.22653484,1.60802599,9.09846291,7,7,51,25,40.6849056603774,87.741935483871,740.5042,485.5349,437.7109,-,-,19.8206,0.4093,27.5941,254.9693,174.0098,1.6775,11.9075,67.3745,0.43232953,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21011,529451,529451,Bystřice,4585,-6,135,129,16.8593238822246,63.9476553980371,19.1930207197383,773,2932,880,26,10,25,135071.31996,101015.88667,10620.68533,2049.19,21385.55796,139048.57017,74895.56045,64153.00972,-3977.25021,1.434,41,50,7,5,17,13,2,i. d. ,72.70148119,80.2089020490645,-,-,3.18621919898557,0.552408250270851,16.0524705016791,58.31305983,-,-,2.31642855,0.40160898,11.67038382,27.29851881,16.77730483,2.02219908,1.6570835,6.8419314,37,43,236,101,41.7996728462377,113.842173350582,6335.939,4606.3215,3694.6799,-,-,146.7675,25.4457,739.4284,1729.6175,1062.9998,128.1253,104.9918,433.5006,0.49673544,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21011,529478,529478,Čakov,127,-1,-4,-5,20.4724409448819,66.9291338582677,12.5984251968504,26,85,16,3,3,3,4985.76599,2840.54582,2047.72343,0,97.49674,2071.63229,1980.48629,91.146,2914.1337,-,-,-,-,-,1,1,-,-,81.44433855,76.6683665806961,-,-,1.24318109701789,0.0603519773745079,22.0281003449116,62.44204404,-,-,1.01250062,0.04915327,17.94064062,18.55566145,12.18184365,0.51885056,1.06817615,4.78679108,2,3,1,5,37.0196850393701,61.5384615384615,528.9577,430.8061,330.292,-,-,5.3557,0.26,94.8984,98.1516,64.4368,2.7445,5.6502,25.3201,0.46419291,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21011,529516,529516,Čerčany,3094,3,168,171,19.7802197802198,60.1486748545572,20.071105365223,612,1861,621,2,1,3,80150.75812,63228.73949,10208.93702,2253.565,4459.51661,48370.70402,39326.18573,9044.51829,31780.0541,0.968,17,22,1,5,23,23,1,i. d. ,47.69011593,61.4685883445999,-,-,24.9152770013603,0.248648708415325,13.3674859456244,29.31444104,-,-,11.88212449,0.11858086,6.37496954,52.30988407,30.15558038,1.47007074,4.14040433,16.54382862,32,29,222,54,41.0423400129282,101.470588235294,644.7921,307.5021,189.0172,-,-,76.615,0.7646,41.1053,337.29,194.4408,9.4789,26.697,106.6733,1.00005304,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21011,529541,529541,Český Šternberk,175,-,12,12,21.1428571428571,56,22.8571428571429,37,98,40,1,1,4,5114.94528,4333.53675,348.29469,143.1,290.01384,3697.88582,3545.42582,152.46,1417.05946,1.053,1,2,-,1,-,-,5,333,40.20475629,49.355795023124,-,-,7.27061888278337,1.53921981793871,41.8343662761539,19.8433771,-,-,2.9231346,0.61883958,16.81940501,59.79524371,40.21725348,5.37878651,1.37725244,12.82195129,1,1,17,5,42.94,108.108108108108,546.5229,219.7282,108.4486,-,-,15.9756,3.3821,91.9219,326.7947,219.7965,29.3963,7.527,70.0749,1.93749761,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21011,529567,529567,Čtyřkoly,762,-3,14,11,18.503937007874,63.9107611548556,17.5853018372703,141,487,134,2,1,2,15244.168,13582.70613,514.824,943.6,203.03787,13653.32462,12194.06283,1459.26179,1590.84338,1.464,7,10,-,1,3,3,2,i. d. ,49.14608656,64.0901762242659,-,-,26.3562011684282,0.000352956789617988,9.55326965051631,31.49781348,-,-,12.95304144,0.00017346,4.69505817,50.85391344,23.34016205,4.18781343,3.57936953,19.74656844,4,7,28,14,41.6850393700787,95.0354609929078,288.2435,141.6604,90.7904,-,-,37.3363,0.0005,13.5332,146.5831,67.2765,12.0711,10.3173,56.9182,0.82402695,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
3026,40169,2101,21011,529621,529621,Divišov,1808,-6,75,69,19.5243362831858,60.7853982300885,19.6902654867257,353,1099,356,8,6,8,87970.48369,40122.70074,28306.18863,1040.71794,18500.87638,81885.2975,48132.40781,33752.88969,6085.18619,1.328,14,21,1,6,7,7,2,i. d. ,60.99752702,80.71359298598,-,-,2.98405225471954,0.63304378408679,15.6693109752136,49.23329569,-,-,1.82019808,0.38614105,9.5578922,39.00247298,28.7955104,0.91714994,1.41437904,7.8754336,15,21,125,50,41.3163716814159,100.849858356941,3098.8935,1890.2484,1525.6874,-,-,56.406,11.9661,296.1889,1208.6451,892.3422,28.4215,43.8301,244.0513,0.70872674,CZ020,Středočeský,CZ0201,Benešov,2101,Benešov
