Obec,Unnamed: 1,Druh dokumentace,Název dokumentace,Číslo dokumentace,Zahájení prací - schválení / rozhodnutí o pořízení 101,Zadání - zahájení projednání 103,Zadání - ukončení projednání 104,Zadání - schválení 105,Koncept řešení - odevzdání 106,Koncept řešení - zahájení projednání 107,Koncept řešení - ukončení projednání 108,Návrh - odevzdání 112,Návrh - zahájení projednání 113,Návrh - ukončení projednání 114,Návrh – stanovisko krajského úřadu / nadřízeného orgánu územního plánování 115,Návrh – vydání / schválení 116,Návrh - nabytí účinnosti 117
Vlašim,,Územní plán,Územní plán Vlašim,87009828,23.04.2007,17.03.2008,,23.06.2008,,05.11.2008,,,20.11.2009,,22.07.2010,27.09.2010,13.10.2010
,Vlašim,Územní plán,Změna č. 1,8700982801,20.06.2011,06.09.2011,,24.10.2011,,,,,21.11.2011,,07.02.2012,23.04.2012,
,Vlašim,Územní plán,Změna č. 2,8700982802,01.10.2011,14.03.2012,,18.06.2012,,,,,05.03.2013,,10.06.2013,21.10.2013,08.11.2013
,Vlašim,Územní plán,Změna č. 3,8700982803,01.03.2013,20.03.2013,,26.08.2013,,,,,12.03.2014,,14.07.2014,06.10.2014,23.10.2014
,Vlašim,Územní plán,Změna č. 5,8700982805,29.02.2016,17.05.2016,,29.08.2016,,,,,09.11.2016,,23.01.2017,19.06.2017,07.07.2017
,Vlašim,Územní plán,Změna č. 4 ,8700982804,02.03.2015,20.03.2015,,22.06.2015,,,,,20.07.2015,,18.11.2015,29.02.2016,18.03.2016
,Vlašim,Územní plán,Změna č. 6 ÚP Vlašim,973891951894,19.06.2017,12.01.2018,,18.06.2018,,,,,,,,,13.10.2021
,Vlašim,Územní plán,Změna č. 7 ÚP Vlašim,973891951895,26.08.2020,,,,,,,,,,,,22.09.2022
,Vlašim,Územní plán,Změna č. 8 ÚP Vlašim,973891952290,27.04.2022,,,,,,,,,,,,14.09.2023
,Vlašim,Územní plán,Změna č. 9 ÚP Vlašim,973891952886,,,,28.06.2023,,,,,,,,,09.11.2024
Uzenice,,Územní plán,Územní plán Uzenice,23847598,25.11.2010,02.11.2011,,17.02.2012,,,,,20.03.2012,,25.09.2012,16.04.2013,10.05.2013
Bušanovice,,Územní plán,Územní plán Bušanovice,64609926,03.01.2008,29.05.2008,07.07.2008,28.08.2008,,,,02.05.2009,21.05.2009,16.12.2009,16.10.2009,22.12.2009,06.01.2010
,Bušanovice,Územní plán,Změna č. 2 ÚP Bušanovice,6460992602,25.07.2012,11.10.2012,23.11.2012,06.12.2012,,,,25.10.2013,07.11.2013,13.05.2014,17.02.2014,27.05.2014,11.06.2014
,Bušanovice,Územní plán,Změna č. 1 ÚP Bušanovice,6460992601,03.02.2011,26.05.2011,04.07.2011,04.08.2011,,,,,10.10.2011,07.03.2012,11.01.2012,09.05.2012,24.05.2012
,Bušanovice,Územní plán,Změna č. 3 územního plánu Bušanovice,6460992604,,,,01.09.2016,,,,,,,,,23.06.2018
,Bušanovice,Územní plán,Změna č. 4,973891951945,24.03.2022,,,,,,,,,,,,13.06.2023
Dobroslavice,,Územní plán,Územní plán Dobroslavice,29391116,16.04.2009,11.01.2010,,04.03.2010,,,,,29.11.2010,,,,22.07.2014
,Dobroslavice,Územní plán,ÚP Dobroslavice - změna č. 1,973891954573,,,,14.12.2021,,,,,,,,,
Sulice,,Územní plán,Územní plán Sulice,11898441,13.01.2010,18.03.2010,,18.08.2010,,,,,08.08.2011,,24.04.2012,,10.10.2014
,Sulice,Územní plán,Změna č. 1,1189844101,21.04.2015,,,13.10.2015,,,,,,,,,29.09.2017
,Sulice,Územní plán,Změna č. 2 ÚP Sulice,1189844102,18.01.2022,,,22.03.2022,,,,,,,,,13.07.2023
,Sulice,Územní plán,Změna č. 3 ÚP Sulice,973891951279,20.09.2022,,,21.02.2023,,,,,,,,,
,Sulice,Územní plán,Změna č. 4 ÚP Sulice,973891952296,27.06.2023,,,12.09.2023,,,,,,,,,
Křenice,,Územní plán,Územní plán Křenice,26316470,08.06.2009,18.12.2009,,26.04.2010,,,,,,,,,
Předslavice,,Územní plán,Územní plán Předslavice,39707583,29.03.2008,12.02.2009,,17.07.2009,,,,,16.02.2010,,12.07.2010,25.02.2011,15.03.2011
,Předslavice,Územní plán,Změna č. 2 územního plánu Předslavice,3970758302,21.09.2017,,,22.11.2017,,,,,,,,,02.11.2018
,Předslavice,Územní plán,Změna č. 3 územního plánu Předslavice,3970758303,27.08.2020,,,,,,,,,,,,04.05.2021
,Předslavice,Územní plán,Změna č. 1 územního plánu Předslavice,3970758301,31.03.2015,,,29.05.2015,,,,,,,,,02.11.2018
Svatý Jan pod Skalou,,Územní plán,Územní plán Svatý Jan pod Skalou,10367984,29.09.2008,24.11.2010,,03.03.2011,,,,,24.07.2012,,,,01.05.2014
Čučice,,Územní plán,Územní plán Čučice,742740,27.08.2009,14.12.2009,,28.01.2010,,,,,23.04.2010,31.05.2010,08.06.2010,28.07.2010,13.08.2010
,Čučice,Územní plán,Změna č. 1 ÚP Čučice,7427400001,30.08.2010,20.05.2011,20.06.2011,26.10.2011,,,,24.09.2012,15.10.2012,,10.06.2013,12.03.2014,28.03.2014
,Čučice,Územní plán,Změna  č.2 ÚP Čučice,7427400004,13.03.2017,,,12.06.2017,,,,18.09.2017,20.09.2017,17.07.2018,21.12.2017,22.08.2018,11.09.2018
Běleč,,Územní plán,Územní plán Běleč,46839541,18.11.2008,02.03.2010,07.04.2010,19.08.2010,,,,04.05.2011,26.05.2011,21.07.2011,07.05.2012,22.10.2012,06.11.2012
,Běleč,Územní plán,Změna č. 1 ÚP Běleč,4683954101,19.02.2014,20.03.2014,23.04.2014,24.04.2014,,,,02.07.2014,02.07.2014,,08.09.2014,13.11.2014,13.12.2014
,Běleč,Územní plán,Změna č. 2 ÚP Běleč,4683954103,12.04.2016,,,26.05.2016,,,,,,,,,22.09.2018
Vidov,,Územní plán,Územní plán Vidov,11375064,02.08.2010,20.08.2010,,01.12.2010,,,,,,,,,29.06.2017
,Vidov,Územní plán,Změna č. 1 ÚP Vidov,973891952441,20.12.2022,,,,,,,,,,,,19.10.2023
